Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-05-29 12:00:00,5.801381008,0.096689683,5.784481456,0.096408024,8353.988652,0.011662765,0.000194379,36.98258084,17.88020833
FCR,2014,2014-05-30 12:00:00,5.836935792,0.097282263,5.825058816,0.097084314,8405.18754,0.008810216,0.000146837,36.75129634,18.09166667
FCR,2014,2014-05-31 12:00:00,5.830591482,0.097176525,5.833186952,0.097219783,8396.051734,0.006760029,0.000112667,36.78817163,18.08677083
FCR,2014,2014-06-01 12:00:00,5.769894858,0.096164914,5.760174517,0.096002909,8308.648595,0.006359294,0.000105988,37.17471137,17.88875
FCR,2014,2014-06-02 12:00:00,5.84663554,0.097443926,5.841315088,0.097355251,8419.155177,0.009693256,0.000161554,36.69218174,18.22666667
FCR,2014,2014-06-03 12:00:00,5.865642272,0.097760705,5.87386975,0.097897829,8446.524871,0.009756021,0.0001626,36.56793151,18.92930233
FCR,2014,2014-06-04 12:00:00,6.02163925,0.100360654,5.939147075,0.098985785,8671.160519,0.035162537,0.000586042,35.71539171,19.01958333
FCR,2014,2014-06-06 12:00:00,5.8052497,0.096754162,5.808816605,0.09681361,8359.559568,0.007765088,0.000129418,36.95034589,18.96666667
FCR,2014,2014-06-07 12:00:00,5.723123985,0.0953854,5.703587952,0.095059799,8241.298539,0.008576823,0.000142947,37.48215847,19.3865625
FCR,2014,2014-06-08 12:00:00,5.704943196,0.095082387,5.703587952,0.095059799,8215.118202,0.008338482,0.000138975,37.60124974,19.6675
FCR,2014,2014-06-09 12:00:00,5.695246822,0.09492078,5.695516303,0.094925272,8201.155424,0.009512895,0.000158548,37.66763194,19.97989583
FCR,2014,2014-06-10 12:00:00,5.731044226,0.095517404,5.679387205,0.094656453,8252.703686,0.023873734,0.000397896,37.47624695,20.38541667
